,PanCK,CD3,CD4,CD8,CD20,CD68,PD1,PDL1,FOXP3,Ki67,SMA,CD31,VIM,CD45
cell_00408,5,6,2,5,2,2,0,4,5,4,1,14,5,1
cell_00409,2,5,4,1,1,1,3,5,4,5,1,1,3,4
cell_00410,5,6,2,1,1,4,1,10,3,6,0,2,3,1
cell_00411,0,7,9,5,3,1,0,6,5,5,0,4,7,2
cell_00412,2,5,4,4,2,1,2,7,2,2,0,3,2,1
cell_00413,5,8,7,2,0,2,2,8,5,6,2,9,5,3
cell_00414,4,7,2,1,1,0,1,4,4,4,2,3,6,3
cell_00415,3,7,0,1,0,1,2,6,6,5,0,6,6,2
cell_00416,2,4,9,2,3,0,2,6,3,6,0,1,4,1
cell_00417,3,6,5,3,4,1,0,2,2,6,0,8,4,0
cell_00418,2,8,6,3,2,1,1,5,3,2,0,4,7,3
cell_00419,4,4,2,4,0,0,0,4,4,4,1,4,6,1
cell_00420,1,8,3,3,2,2,0,2,1,4,1,6,8,4
cell_00421,3,6,5,4,0,2,0,7,4,7,0,4,8,2
cell_00422,4,5,4,3,0,1,1,6,2,9,1,6,6,1
cell_00423,6,6,8,3,3,1,3,8,3,3,2,4,2,1
cell_00424,0,6,5,1,0,1,0,7,2,2,1,5,4,0
cell_00425,3,11,4,3,0,2,0,7,5,4,0,7,2,1
cell_00426,3,2,3,3,2,1,0,4,2,4,0,5,6,1
cell_00427,1,6,5,4,4,4,0,7,4,5,1,7,6,1
cell_00428,3,5,4,3,1,2,1,4,1,3,2,7,8,1
cell_00429,4,2,4,7,1,1,0,5,3,9,0,4,6,0
cell_00430,2,7,3,2,3,0,1,4,6,5,0,9,3,0
cell_00431,3,7,3,2,2,2,0,7,2,4,1,2,4,3
cell_00432,5,6,6,4,3,1,1,4,3,5,1,2,4,3
cell_00433,1,8,6,2,2,1,0,8,6,4,0,7,2,1
cell_00434,4,6,3,2,1,3,1,4,0,6,0,7,8,0
cell_00435,5,7,0,4,1,2,1,8,2,1,0,3,2,1
cell_00436,3,6,5,7,3,2,2,7,3,7,2,4,7,1
cell_00437,3,4,4,2,0,1,3,4,4,3,0,6,3,4
cell_00438,1,6,4,2,2,2,0,4,4,5,1,6,6,3
cell_00439,1,5,5,8,3,1,1,5,1,6,0,4,1,0
cell_00440,0,7,4,4,2,3,2,3,4,4,1,6,8,1
cell_00441,5,5,6,3,1,2,0,5,3,3,0,7,8,1
cell_00442,1,6,3,7,2,0,0,13,6,8,1,7,9,0
cell_00443,6,8,8,4,1,1,1,6,4,3,2,3,6,2
cell_00444,2,2,4,2,2,0,0,6,2,3,1,4,6,0
cell_00445,3,3,5,2,2,4,2,4,8,2,0,8,5,3
cell_00446,2,8,3,6,0,1,0,3,6,2,0,8,8,1
cell_00447,4,6,2,3,2,1,1,6,3,4,2,6,3,1
cell_00448,3,6,6,1,2,2,0,10,3,7,0,6,3,1
cell_00449,3,7,6,6,1,2,1,3,4,4,0,5,6,2
cell_00450,8,7,1,3,2,3,1,3,3,5,0,5,4,2
cell_00451,1,5,3,4,2,0,1,5,3,4,0,5,6,2
cell_00452,4,5,5,2,0,2,0,3,0,4,1,8,5,0
cell_00453,3,4,5,1,0,2,1,4,6,6,2,6,4,0
cell_00454,6,5,5,1,0,4,0,6,1,6,3,6,2,2
cell_00455,4,8,2,4,1,0,0,7,1,8,1,7,5,2
cell_00456,2,6,4,3,1,1,0,3,1,6,2,9,7,2
cell_00457,2,6,4,8,2,3,0,5,6,4,0,4,6,2
cell_00458,3,7,3,2,1,1,1,6,3,4,1,4,9,3
cell_00459,2,5,4,1,0,1,0,4,5,2,0,6,5,3
cell_00460,2,4,6,3,1,3,1,4,3,2,0,5,6,1
cell_00461,3,4,3,5,0,2,0,4,2,4,2,4,5,1
cell_00462,2,6,4,4,3,2,1,7,4,3,2,5,2,3
cell_00463,2,7,5,1,2,0,1,4,9,3,0,2,2,1
cell_00464,1,6,6,2,1,2,1,6,4,9,1,5,2,2
cell_00465,1,1,4,5,2,0,0,5,5,3,1,5,2,0
cell_00466,4,4,5,2,1,1,2,6,2,7,0,5,2,4
cell_00467,1,7,2,6,1,2,1,5,1,6,1,4,8,3
cell_00468,3,5,9,6,1,2,2,5,5,2,0,7,3,2
cell_00469,5,4,8,3,0,1,1,6,2,5,0,5,3,2
cell_00470,2,7,3,3,0,2,4,7,5,3,0,10,7,2
cell_00471,4,6,3,4,2,0,1,6,3,6,2,7,5,3
cell_00472,4,5,8,1,2,1,0,5,5,3,1,4,6,0
cell_00473,5,3,5,5,3,0,0,5,0,4,0,6,4,1
cell_00474,4,3,5,3,2,2,0,7,6,3,0,6,3,0
cell_00475,2,8,4,5,1,0,0,6,7,5,0,4,5,2
cell_00476,2,9,8,7,1,1,1,5,5,3,0,5,2,2
cell_00477,4,6,2,3,0,4,0,4,2,4,1,7,5,2
cell_00478,0,4,4,3,0,0,0,6,3,6,0,6,5,1
cell_00479,2,6,5,2,2,0,2,7,3,5,0,4,7,2
cell_00480,1,3,4,2,1,1,2,9,3,3,0,9,4,2
cell_00481,3,5,1,6,1,1,0,6,3,6,0,3,4,1
cell_00482,5,5,4,5,1,1,1,9,8,9,0,8,5,1
cell_00483,3,8,5,1,2,2,2,5,5,5,0,4,7,3
cell_00484,2,5,7,5,1,0,1,3,5,2,2,6,9,1
cell_00485,2,5,10,7,3,1,3,3,1,5,0,7,10,1
cell_00486,1,7,9,1,1,2,1,5,6,9,0,6,6,1
cell_00487,3,2,6,3,2,2,0,3,2,2,0,2,4,3
cell_00488,2,8,0,5,0,2,2,4,7,3,0,6,7,2
cell_00489,5,10,3,1,2,1,1,2,0,3,1,6,4,3
cell_00490,2,5,3,5,3,1,0,5,2,6,1,6,2,0
cell_00491,1,6,5,3,2,1,1,4,3,4,3,7,5,2
cell_00492,1,3,3,2,1,0,0,3,5,3,1,11,3,1
cell_00493,4,3,8,5,0,2,0,4,1,6,1,9,6,1
cell_00494,1,5,5,5,1,0,0,10,4,5,1,5,4,3
cell_00495,0,3,6,5,2,1,0,6,3,2,0,5,6,1
cell_00496,3,9,7,4,1,0,0,4,7,3,0,8,11,0
cell_00497,1,5,3,6,4,1,0,2,4,3,0,5,7,3
cell_00498,1,6,3,6,3,2,0,7,4,3,0,5,5,0
cell_00499,4,6,2,3,3,2,1,5,4,4,0,7,3,4
cell_00500,7,7,4,4,0,1,0,5,2,5,1,7,3,3
cell_00501,2,3,3,2,1,4,0,4,5,4,0,5,5,1
cell_00502,6,5,5,7,1,0,1,6,4,3,0,3,7,1
cell_00503,1,6,5,5,0,1,0,6,6,1,0,3,7,3
cell_00504,2,10,7,3,1,1,1,3,4,2,0,4,7,4
cell_00505,1,12,8,3,3,0,1,12,2,2,1,7,2,2
cell_00506,2,7,3,2,1,0,2,6,2,8,1,6,4,1
cell_00507,0,4,2,5,3,2,0,8,3,5,0,8,7,0
cell_00508,2,8,7,2,2,0,0,11,3,8,1,10,5,0
cell_00509,3,3,1,1,2,2,2,7,5,1,0,7,12,2
cell_00510,2,3,4,3,1,1,1,5,2,3,1,4,5,1
cell_00511,1,8,3,7,1,3,1,5,1,3,2,8,5,0
cell_00512,1,5,5,5,1,0,1,3,8,6,3,4,3,1
cell_00513,3,12,3,0,3,0,2,7,1,2,1,5,2,1
cell_00514,0,5,5,1,2,2,1,2,8,5,0,9,5,0
cell_00515,2,5,7,3,1,2,0,7,5,5,2,7,4,1
cell_00516,1,4,6,8,2,4,4,4,3,6,0,2,6,3
cell_00517,2,2,8,2,0,2,2,4,1,3,2,7,7,2
cell_00518,2,6,3,2,0,0,2,5,4,1,0,6,9,0
cell_00519,2,6,5,3,3,2,1,7,1,5,1,5,5,0
cell_00520,3,7,4,4,2,3,1,6,6,3,0,9,5,2
cell_00521,1,4,4,1,0,3,0,7,2,6,1,5,3,0
cell_00522,1,4,4,8,2,1,0,5,5,7,3,5,7,5
cell_00523,4,5,0,7,0,0,0,6,2,3,0,10,3,2
cell_00524,6,3,3,3,2,1,0,7,6,10,0,5,2,2
cell_00525,0,7,4,3,1,0,0,3,1,7,1,9,8,3
cell_00526,1,5,6,5,2,2,0,8,1,6,2,3,6,2
cell_00527,1,5,2,5,3,2,0,3,2,7,0,3,5,1
cell_00528,6,5,1,8,3,1,1,5,4,12,0,4,5,2
cell_00529,4,5,8,3,2,2,1,7,1,3,2,11,9,1
cell_00530,2,6,4,2,3,1,0,5,2,4,0,6,2,1
cell_00531,1,5,3,2,2,0,1,5,1,8,0,6,6,1
cell_00532,3,4,1,4,0,2,0,7,1,5,0,6,7,0
cell_00533,2,7,6,3,3,0,1,6,3,2,1,4,6,1
cell_00534,3,5,5,3,2,2,0,8,7,3,0,8,4,2
cell_00535,1,5,3,2,4,2,1,6,6,6,1,10,10,2
cell_00536,0,6,4,2,2,1,1,4,3,6,1,7,2,4
cell_00537,2,8,5,3,1,3,2,3,5,6,0,7,8,0
cell_00538,1,3,4,6,4,3,2,5,7,2,2,11,5,2
cell_00539,3,5,4,4,2,1,2,6,4,5,1,6,7,3
cell_00540,4,6,6,3,1,0,0,4,2,5,0,4,5,1
cell_00541,1,6,2,5,2,2,1,8,3,4,0,6,7,2
cell_00542,3,3,2,2,2,1,0,6,0,6,0,11,5,2
cell_00543,2,6,4,2,3,1,0,8,4,3,0,8,6,0
cell_00544,0,8,3,7,1,2,0,6,4,5,1,5,4,2
cell_00545,3,5,5,3,3,1,1,3,3,7,0,5,5,5
cell_00546,0,6,6,6,3,2,0,9,3,3,1,4,6,1
cell_00547,4,1,5,0,1,1,2,3,7,3,0,6,9,2
cell_00548,1,5,5,2,1,1,1,9,3,6,0,6,4,1
cell_00549,0,9,6,5,1,0,0,0,3,2,0,7,5,4
cell_00550,1,9,6,4,3,0,0,6,7,4,1,5,9,0
cell_00551,1,5,2,1,3,1,0,6,3,5,1,6,4,2
cell_00552,1,4,4,4,0,1,1,5,4,9,0,7,4,1
cell_00553,2,1,4,4,0,4,1,5,5,4,1,5,2,0
cell_00554,2,8,4,9,1,1,2,6,8,6,1,5,7,2
cell_00555,1,5,4,3,0,0,2,6,8,9,1,3,9,1
cell_00556,4,2,2,2,3,3,0,11,5,4,0,6,8,1
cell_00557,4,9,7,4,1,1,1,6,3,2,0,5,7,1
cell_00558,2,6,4,3,2,0,1,7,4,5,0,8,6,0
cell_00559,5,7,4,3,1,2,1,6,3,2,0,3,3,3
cell_00560,0,5,5,6,3,2,0,5,2,2,0,3,1,3
cell_00561,5,8,5,4,1,3,0,3,4,5,0,2,3,2
cell_00562,1,5,5,1,0,0,0,5,4,4,0,8,6,3
cell_00563,6,4,1,4,0,2,3,6,2,3,2,5,2,5
cell_00564,2,10,5,5,2,2,0,3,6,4,0,5,9,2
cell_00565,2,9,3,2,0,0,1,9,3,8,0,8,4,5
cell_00566,1,10,3,7,1,0,0,5,1,5,0,4,3,0
cell_00567,3,5,4,1,1,3,0,6,4,4,0,3,5,2
cell_00568,3,8,4,2,1,1,0,5,5,3,1,5,4,2
cell_00569,5,9,3,8,1,1,3,7,4,4,0,6,4,4
cell_00570,1,10,5,9,1,1,1,8,3,7,1,10,5,3
cell_00571,1,13,8,3,1,1,1,5,4,5,0,6,5,0
cell_00572,3,7,2,6,1,0,0,5,2,6,2,7,3,1
cell_00573,2,6,6,2,1,5,0,4,3,6,1,8,2,1
cell_00574,2,10,9,3,0,0,0,7,4,5,0,8,2,3
cell_00575,2,8,9,2,2,0,2,6,2,1,0,4,5,4
cell_00576,1,2,3,6,0,0,1,7,3,5,1,2,3,0
cell_00577,0,5,5,2,2,0,1,2,4,2,2,5,5,0
cell_00578,4,9,3,6,1,0,1,3,3,5,1,6,6,0
cell_00579,3,9,6,4,2,1,2,7,1,5,0,6,4,3
cell_00580,1,4,3,1,0,2,1,7,5,3,0,4,4,2
cell_00581,3,5,3,4,4,0,1,6,7,2,0,6,6,2
cell_00582,1,6,3,2,3,0,1,3,7,3,0,7,5,1
cell_00583,4,5,1,6,0,1,0,4,5,2,0,4,4,3
cell_00584,2,5,6,4,3,1,1,8,4,5,1,6,5,1
cell_00585,3,4,6,3,0,1,1,7,4,3,0,1,4,1
cell_00586,3,6,11,1,2,1,3,9,6,1,2,4,4,1
cell_00587,0,8,2,1,0,1,2,4,5,4,0,4,2,3
cell_00588,1,5,6,5,0,3,1,11,2,3,0,11,5,1
cell_00589,4,3,5,4,0,1,0,10,5,5,0,6,4,0
cell_00590,2,5,2,4,2,2,0,7,4,5,1,8,4,2
cell_00591,2,6,7,2,1,0,0,9,9,3,0,5,6,1
cell_00592,2,8,5,3,2,0,1,8,8,7,0,10,4,0
cell_00593,3,5,5,5,1,0,0,6,2,6,3,4,5,0
cell_00594,1,5,7,4,2,1,0,6,3,3,0,6,7,0
cell_00595,0,4,5,2,1,3,0,4,8,2,0,7,6,2
cell_00596,1,3,4,5,2,2,1,4,5,6,0,6,6,1
cell_00597,1,5,4,5,0,0,2,4,4,4,1,4,4,2
cell_00598,1,7,3,4,0,2,0,8,3,4,3,6,4,3
cell_00599,7,2,2,6,2,0,2,5,3,2,1,5,5,2
cell_00600,1,2,3,2,1,0,0,5,7,2,1,7,5,2
cell_00601,4,5,3,2,1,0,0,6,5,3,0,5,6,0
cell_00602,1,4,7,3,1,0,2,6,9,2,0,7,5,1
cell_00603,1,4,5,2,2,0,0,8,2,7,2,7,4,3
cell_00604,5,3,6,3,0,1,0,6,3,8,1,7,5,1
cell_00605,3,5,3,4,0,2,0,5,7,3,1,8,8,1
cell_00606,0,12,4,3,2,0,2,6,1,2,0,8,3,3
cell_00607,1,5,5,7,1,0,2,8,7,2,0,4,3,1
cell_00608,2,7,2,3,0,1,0,4,4,7,2,5,5,3
cell_00609,5,6,9,5,1,2,1,3,2,5,1,10,1,4
cell_00610,3,5,7,2,3,4,0,7,3,9,0,6,4,1
cell_00611,2,9,1,5,2,2,0,6,1,2,2,6,8,2
cell_00612,0,4,6,2,1,2,0,11,4,10,0,9,7,1
cell_00613,3,5,7,4,1,0,1,3,3,3,1,3,9,1
cell_00614,0,9,9,5,0,1,2,7,4,4,0,7,7,1
cell_00615,1,5,5,5,2,1,0,6,6,4,1,7,3,2
cell_00616,5,5,10,1,1,1,0,5,6,5,0,10,2,1
cell_00617,2,5,5,0,1,1,1,6,1,5,2,5,4,2
cell_00618,6,2,1,3,0,2,1,4,4,4,1,8,5,1
cell_00619,6,4,5,1,0,1,0,5,2,3,0,4,3,2
cell_00620,3,4,3,7,1,0,1,6,3,1,0,2,7,4
cell_00621,6,5,2,2,1,0,2,7,6,3,1,3,5,1
cell_00622,3,6,4,7,0,1,0,2,3,2,1,4,4,2
cell_00623,6,10,3,0,2,0,0,5,5,3,0,8,7,6
cell_00624,0,2,6,6,0,0,0,7,1,4,2,6,8,3
cell_00625,4,5,8,1,2,0,0,4,4,10,2,7,5,3
cell_00626,0,3,6,5,2,2,1,6,2,3,0,8,11,2
cell_00627,3,3,3,2,0,0,0,7,2,4,1,6,2,0
cell_00628,1,2,4,6,1,1,1,3,5,1,3,9,3,2
cell_00629,2,8,5,7,3,1,1,9,8,3,2,5,4,1
cell_00630,2,7,2,4,1,0,1,6,1,2,0,7,3,2
cell_00631,1,6,5,2,1,0,0,3,6,4,0,5,4,1
cell_00632,0,5,6,3,2,3,1,11,2,6,0,3,8,2
cell_00633,3,5,4,5,0,2,1,5,3,3,1,8,3,3
cell_00634,4,7,7,4,2,1,1,6,5,9,0,7,8,3
cell_00635,2,7,5,2,1,1,2,3,1,5,0,6,3,1
cell_00636,2,4,4,3,2,3,1,5,1,4,0,7,3,4
cell_00637,4,5,4,7,1,3,0,7,5,3,0,8,4,1
cell_00638,0,7,3,7,2,2,1,6,7,6,2,4,6,1
cell_00639,2,3,3,3,2,1,1,5,3,6,2,5,2,2
cell_00640,2,6,3,7,1,0,1,3,3,3,1,10,3,2
cell_00641,0,9,1,6,1,1,2,5,3,4,1,6,4,3
cell_00642,2,7,1,7,1,0,0,5,4,3,0,8,7,4
cell_00643,1,5,1,4,4,4,3,3,3,6,0,7,10,1
cell_00644,3,8,5,5,2,2,0,4,5,0,0,2,4,1
cell_00645,0,3,1,8,2,2,2,3,4,5,1,5,5,0
cell_00646,2,9,1,1,2,3,0,1,4,9,1,5,5,0
cell_00647,0,5,5,7,1,0,1,8,2,3,0,14,5,4
cell_00648,3,7,6,1,2,2,1,2,4,6,0,4,9,1
cell_00649,1,6,5,0,1,1,2,5,2,3,0,9,1,1
cell_00650,1,8,2,4,3,2,0,5,4,2,1,6,3,1
cell_00651,2,6,3,2,3,3,0,3,9,2,0,3,4,1
cell_00652,3,6,6,4,2,1,1,5,2,3,2,4,3,0
cell_00653,1,10,6,3,0,0,2,4,2,3,2,7,4,5
cell_00654,3,5,5,3,1,0,0,4,1,1,0,10,3,0
cell_00655,1,6,5,0,1,3,1,5,7,3,1,6,5,2
cell_00656,5,12,5,4,1,2,1,10,2,4,2,5,10,4
cell_00657,2,4,6,5,2,0,0,3,4,3,0,7,7,4
cell_00658,0,9,4,4,1,1,0,1,8,4,1,6,7,1
cell_00659,3,3,5,3,1,4,0,4,3,9,1,7,3,4
cell_00660,3,5,8,2,0,2,3,6,2,4,1,9,3,0
cell_00661,4,6,11,5,2,0,0,3,3,2,2,8,3,3
cell_00662,2,12,6,5,2,0,1,8,5,4,0,9,5,1
cell_00663,1,3,4,3,2,0,1,4,4,4,1,2,2,2
cell_00664,3,4,3,3,0,1,1,5,2,1,0,6,1,1
cell_00665,2,6,3,2,1,3,1,7,4,4,0,10,3,0
cell_00666,2,4,4,7,1,2,0,3,2,3,1,7,4,1
cell_00667,1,1,5,3,2,1,2,10,4,4,0,4,4,2
cell_00668,2,4,3,4,0,0,1,3,4,4,0,8,2,1
cell_00669,4,6,2,3,3,0,1,4,4,3,0,6,8,1
cell_00670,2,6,5,2,2,2,0,9,3,5,2,3,5,1
cell_00671,3,8,2,2,2,1,3,2,2,9,1,5,5,2
cell_00672,2,6,9,7,2,2,2,7,4,1,1,3,4,2
cell_00673,5,6,4,3,1,1,1,3,3,6,1,4,7,3
cell_00674,3,5,4,2,0,2,2,4,2,3,0,6,5,3
cell_00675,3,2,4,5,2,1,1,6,5,8,2,6,3,1
cell_00676,8,3,9,2,0,3,0,5,1,8,1,7,7,3
cell_00677,5,8,4,1,1,1,0,5,3,2,0,4,2,1
cell_00678,3,9,4,3,0,0,1,5,4,3,0,4,6,1
cell_00679,5,10,3,6,0,1,1,5,5,4,0,7,2,0
cell_00680,3,7,3,3,2,2,2,3,5,6,1,11,3,1
cell_00681,4,4,10,0,4,2,0,3,5,3,0,6,5,1
cell_00682,4,5,10,4,2,2,0,6,2,4,0,8,5,1
cell_00683,3,5,4,2,1,0,1,3,2,6,1,1,1,1
cell_00684,0,5,5,0,1,1,1,5,3,5,0,7,5,3
cell_00685,3,6,2,11,3,2,1,8,3,3,0,5,4,1
cell_00686,3,5,5,7,2,1,2,4,3,3,0,3,4,3
cell_00687,0,5,8,7,0,1,1,8,3,4,1,5,8,4
cell_00688,2,6,4,1,1,2,1,4,5,5,0,10,3,3
cell_00689,3,6,4,5,4,5,0,6,3,4,1,5,1,2
cell_00690,3,5,4,4,1,2,0,10,3,2,1,3,7,2
cell_00691,4,9,2,4,1,2,1,4,3,5,1,8,5,3
cell_00692,5,5,8,4,2,0,2,4,5,6,0,6,5,2
cell_00693,3,7,3,7,2,0,0,4,4,3,0,7,1,1
cell_00694,1,4,4,7,1,2,0,8,5,4,1,7,3,0
cell_00695,1,5,3,2,3,3,0,7,2,2,0,9,6,2
cell_00696,2,6,2,6,1,3,0,5,8,8,0,10,1,1
cell_00697,6,13,5,9,2,0,0,9,5,3,0,3,8,2
cell_00698,6,4,2,4,2,1,1,4,3,5,0,2,3,0
cell_00699,2,4,5,5,2,1,2,4,3,1,0,8,2,2
cell_00700,4,6,6,4,2,2,1,8,3,7,0,8,6,4
cell_00701,1,6,6,8,0,1,1,6,7,6,0,3,5,0
cell_00702,1,7,5,1,1,3,1,4,3,1,1,5,2,1
cell_00703,5,8,4,5,1,0,1,2,4,5,1,8,4,0
cell_00704,1,11,4,1,1,1,1,8,3,2,1,7,7,0
cell_00705,1,2,6,3,1,1,0,8,3,4,0,4,7,4
cell_00706,1,4,5,4,2,1,0,6,9,4,0,8,5,1
cell_00707,1,6,8,3,1,3,1,5,3,4,2,10,2,1
cell_00708,5,6,2,3,1,2,2,7,4,3,1,3,6,0
cell_00709,3,5,5,2,5,1,1,4,2,3,0,7,7,4
cell_00710,0,5,2,3,1,1,0,3,5,4,1,7,7,1
cell_00711,6,9,4,4,0,3,2,7,1,2,1,6,8,2
cell_00712,1,3,5,1,2,0,2,5,6,4,0,7,3,0
cell_00713,2,4,5,3,2,4,0,7,1,2,0,3,4,1
cell_00714,3,4,3,1,1,1,0,8,4,7,0,2,7,2
cell_00715,1,4,4,3,0,5,0,7,4,3,0,6,1,4
cell_00716,3,3,4,5,1,2,0,1,0,2,3,8,6,3
cell_00717,1,6,7,6,2,1,0,3,0,3,0,3,10,1
cell_00718,2,4,1,4,2,2,2,3,4,3,0,4,3,3
cell_00719,1,5,7,1,2,1,2,2,4,4,0,5,7,3
cell_00720,2,3,4,8,0,5,1,8,3,2,1,5,3,2
cell_00721,3,7,5,2,0,0,1,3,5,5,0,5,5,1
cell_00722,1,6,2,4,0,4,0,5,5,8,1,8,7,0
cell_00723,2,5,9,5,2,0,0,8,7,4,0,5,6,0
cell_00724,1,1,4,5,2,2,1,6,3,5,1,7,7,0
cell_00725,4,2,3,8,2,2,0,7,1,3,0,5,5,2
cell_00726,2,4,3,3,0,0,1,7,1,4,1,5,5,0
cell_00727,2,10,6,3,1,0,0,6,4,4,2,5,5,1
cell_00728,3,8,3,2,0,1,2,5,5,7,0,5,8,2
cell_00729,3,3,5,1,0,0,1,9,3,2,0,5,6,3
cell_00730,3,5,5,4,1,2,0,5,2,6,0,8,4,1
cell_00731,3,3,4,6,0,0,0,6,3,2,0,11,7,3
cell_00732,0,4,5,5,1,2,1,4,3,12,2,6,2,3
cell_00733,3,5,4,4,0,2,2,4,4,3,1,5,3,2
cell_00734,2,5,6,5,0,2,3,8,4,5,0,7,3,1
cell_00735,3,6,8,4,2,1,0,5,3,8,0,11,2,0
cell_00736,2,6,4,4,2,0,1,6,6,6,1,0,5,1
cell_00737,1,7,2,4,0,1,3,6,4,7,1,5,4,0
cell_00738,3,7,7,7,1,1,0,4,1,5,0,7,4,3
cell_00739,4,3,6,3,0,1,1,9,4,5,2,8,8,2
cell_00740,2,3,8,7,2,1,0,6,5,3,3,6,5,4
cell_00741,3,6,4,5,0,4,2,1,2,11,2,8,6,0
cell_00742,4,6,5,6,2,0,1,5,5,3,0,6,6,0
cell_00743,2,5,4,3,0,3,0,3,3,5,0,6,4,0
cell_00744,2,8,2,2,0,0,0,5,3,6,0,2,7,2
cell_00745,1,8,5,4,0,2,3,9,4,6,0,4,4,1
cell_00746,2,3,4,5,0,2,0,2,6,4,0,3,7,2
cell_00747,2,10,6,3,1,1,0,8,5,5,1,4,7,0
cell_00748,5,9,7,6,0,1,1,6,6,3,0,4,6,4
cell_00749,2,5,3,2,0,1,2,8,1,3,1,8,5,3
cell_00750,2,5,5,8,0,3,0,8,6,4,0,6,7,1
cell_00751,6,7,4,0,0,0,1,4,2,1,1,4,6,0
cell_00752,3,10,3,3,3,0,1,3,2,5,0,5,5,0
cell_00753,1,9,3,3,2,1,1,9,5,4,0,2,3,2
cell_00754,1,6,2,3,6,1,1,2,4,5,1,8,4,0
cell_00755,1,6,4,1,2,1,0,7,3,4,0,4,5,3
cell_00756,0,4,4,3,0,2,0,9,4,4,0,5,9,1
cell_00757,6,2,6,6,0,1,0,4,4,2,0,11,3,1
cell_00758,3,7,5,0,1,2,0,9,1,6,0,5,5,0
cell_00759,3,5,4,0,1,1,1,4,5,4,0,4,5,3
cell_00760,7,7,8,4,2,1,1,6,3,3,0,7,2,3
cell_00761,2,2,0,8,1,0,2,4,4,1,0,9,6,4
cell_00762,2,7,5,4,1,3,0,3,7,3,2,2,6,0
cell_00763,0,10,2,5,0,0,1,2,2,5,0,11,5,4
cell_00764,4,9,1,1,4,3,1,7,3,2,0,3,9,3
cell_00765,0,4,1,4,2,1,0,7,6,2,0,3,1,5
cell_00766,2,12,1,2,0,0,1,7,8,4,0,4,5,1
cell_00767,0,10,3,4,2,0,1,6,0,1,1,10,4,2
cell_00768,1,5,3,7,0,1,2,6,2,7,0,7,3,1
cell_00769,5,8,4,5,2,2,2,4,4,5,0,5,5,2
cell_00770,5,5,2,4,1,2,1,5,7,5,0,2,2,3
cell_00771,1,1,4,3,0,1,1,4,5,7,0,8,4,2
cell_00772,7,4,6,2,2,1,0,3,2,2,2,4,5,1
cell_00773,4,6,5,5,0,1,1,4,5,3,1,8,5,1
cell_00774,2,5,1,2,0,4,0,4,6,2,2,0,5,2
cell_00775,2,8,5,5,0,0,0,12,3,5,1,8,8,2
cell_00776,1,12,6,3,2,0,0,5,2,7,0,6,3,1
cell_00777,1,4,5,5,1,1,3,4,5,6,2,8,5,3
cell_00778,2,7,3,3,2,1,1,4,3,3,0,4,2,0
cell_00779,1,5,4,4,1,2,2,7,7,3,1,6,6,2
cell_00780,2,8,4,2,2,0,0,4,1,9,0,6,6,1
cell_00781,6,4,0,7,0,1,1,4,3,6,0,6,0,0
cell_00782,2,3,5,2,0,3,0,7,7,7,0,11,5,0
cell_00783,3,7,9,3,2,1,2,10,8,2,0,4,8,0
cell_00784,2,5,9,5,0,1,2,6,1,5,0,4,5,4
cell_00785,1,8,5,7,1,2,2,3,5,2,2,3,5,1
cell_00786,1,3,4,5,5,1,1,4,4,0,0,5,6,1
cell_00787,3,5,3,4,1,1,1,5,2,4,1,6,8,3
cell_00788,5,4,4,5,1,1,1,5,4,3,0,7,10,0
cell_00789,1,5,5,2,2,1,1,1,1,3,0,1,4,2
cell_00790,0,4,0,4,1,0,0,3,1,4,1,6,6,3
cell_00791,1,5,5,7,1,1,1,4,5,4,0,7,0,0
cell_00792,3,1,5,1,2,1,0,7,3,4,0,5,3,1
cell_00793,3,4,6,2,1,2,1,4,3,6,0,5,4,0
cell_00794,0,7,1,0,0,0,1,6,3,3,0,7,5,5
cell_00795,3,2,3,2,0,3,0,14,4,4,1,5,3,2
cell_00796,2,10,3,2,1,2,1,6,4,7,1,6,3,2
cell_00797,2,8,2,1,2,1,2,2,4,6,0,4,7,1
cell_00798,0,4,5,4,4,1,4,5,3,11,0,5,6,1
cell_00799,4,4,6,3,1,4,0,8,6,5,1,7,5,1
cell_00800,4,8,2,2,3,1,1,6,3,5,1,5,3,0
cell_00801,2,11,4,1,3,2,1,6,3,8,0,5,2,1
cell_00802,3,4,4,4,3,0,0,6,2,4,0,4,5,1
cell_00803,2,5,7,5,1,1,1,0,3,5,3,6,2,1
cell_00804,4,4,5,3,1,1,1,4,1,6,3,8,3,5
cell_00805,2,7,3,0,1,2,2,3,3,7,1,6,4,0
cell_00806,3,6,4,5,0,3,1,11,4,3,0,3,6,1
cell_00807,1,11,5,5,0,0,0,7,1,3,1,4,6,2
cell_00808,2,3,2,8,1,1,2,8,5,6,1,8,3,3
cell_00809,3,5,3,0,1,2,0,4,3,4,2,6,7,4
cell_00810,2,4,6,1,1,3,1,2,2,2,0,6,4,5
cell_00811,3,6,8,5,0,1,0,3,3,3,1,8,4,4
cell_00812,4,6,5,3,0,1,2,3,3,4,1,10,8,1
cell_00813,4,9,5,4,1,1,1,5,1,4,0,5,7,2
cell_00814,6,4,2,6,2,2,1,4,4,6,0,5,4,1
cell_00815,1,7,1,2,2,2,3,6,2,2,0,7,4,1
cell_00816,3,3,6,3,3,0,0,4,2,6,1,6,1,0
